Ticker,Number of Events,Events / Year,Positive Events,Negative Events,Positive %,Negative %,Average Interval,Median Interval,Minimum Interval,Maximum Interval,Average Threshold
NUE,2736,71.24116553006819,1421,1315,51.937134502923975,48.062865497076025,3.5290676416819013,3.0,1.0,19.0,0.030245065408828955
NVDA,2689,70.01012501291456,1485,1204,55.22499070286352,44.77500929713648,3.5911458333333335,3.0,1.0,20.0,0.043971510461601186
NVR,2683,69.85391052794711,1451,1232,54.08125232948192,45.91874767051808,3.599179716629381,3.0,1.0,20.0,0.026998711730620975
NWS,1262,66.78370432591348,637,625,50.47543581616482,49.52456418383518,3.7660586835844567,3.0,1.0,18.0,0.022453409392692927
NWSA,1259,66.61095947931976,640,619,50.833995234312944,49.166004765687056,3.7758346581875992,3.0,1.0,18.0,0.022450984554254046
NXPI,1533,66.46868547832071,819,714,53.42465753424658,46.57534246575342,3.783289817232376,3.0,1.0,27.0,0.03372202893938276
O,2644,68.83851637565864,1421,1223,53.744326777609686,46.25567322239032,3.6522890654559212,3.0,1.0,21.0,0.01955806947057845
ODFL,2651,69.04216618437371,1436,1215,54.16823840060354,45.83176159939645,3.641509433962264,3.0,1.0,32.0,0.03129567223761373
OKE,2667,69.43733856803388,1437,1230,53.88076490438694,46.11923509561305,3.6207801950487624,3.0,1.0,21.0,0.02525505723941637
OMC,2647,68.95224312590449,1356,1291,51.22780506233472,48.77219493766528,3.6462585034013606,3.0,1.0,19.0,0.02233377743961829
ON,2626,69.21368057734547,1330,1296,50.64737242955065,49.35262757044935,3.6323809523809523,3.0,1.0,22.0,0.046201439798210904
ORCL,2535,66.04155897860024,1343,1192,52.97830374753452,47.02169625246548,3.8070244672454616,3.0,1.0,26.0,0.028621264181884987
ORLY,2568,66.86670799752015,1394,1174,54.28348909657321,45.716510903426794,3.7600311647837943,3.0,1.0,24.0,0.02412957057068219
OTIS,609,66.84146341463415,322,287,52.87356321839081,47.12643678160919,3.7664473684210527,3.0,1.0,21.0,0.020604280796650633
OXY,2764,71.97024178549287,1434,1330,51.881331403762665,48.118668596237335,3.493304379297865,3.0,1.0,18.0,0.02866858218179765
PANW,1304,64.48351648351648,717,587,54.984662576687114,45.015337423312886,3.90023023791251,3.0,1.0,18.0,0.032386816619007865
PAYX,2655,69.12490959809898,1408,1247,53.03201506591337,46.96798493408663,3.63715146948003,3.0,1.0,33.0,0.021246861006523576
PCAR,2660,69.25508833557186,1414,1246,53.1578947368421,46.8421052631579,3.6303121474238433,3.0,1.0,20.0,0.025660600845784306
PCG,2536,66.02665564624445,1345,1191,53.03627760252366,46.963722397476346,3.8078895463510847,3.0,1.0,30.0,0.026433540026919417
PEG,2725,70.94008264462809,1452,1273,53.28440366972477,46.715596330275226,3.5440528634361232,3.0,1.0,21.0,0.01874750610940747
PEP,2644,68.83851637565864,1398,1246,52.874432677760964,47.12556732223903,3.6522890654559212,3.0,1.0,21.0,0.014899611463655347
PFE,2612,68.00537245583222,1309,1303,50.11485451761103,49.88514548238898,3.6970509383378016,3.0,1.0,23.0,0.020186767662257854
PFG,2464,68.85429141716567,1336,1128,54.22077922077923,45.77922077922078,3.651644336175396,3.0,1.0,20.0,0.02741598983453783
PG,2626,68.36987292075628,1400,1226,53.313023610053314,46.686976389946686,3.6773333333333333,3.0,1.0,27.0,0.01517307723627798
PGR,2614,68.10669975186104,1393,1221,53.289977046671765,46.710022953328235,3.691542288557214,3.0,1.0,18.0,0.021017581141044937
PH,2618,68.16862988220707,1416,1202,54.08708938120703,45.91291061879297,3.688192586931601,3.0,1.0,28.0,0.025572257205203314
PHM,2720,70.83918974782968,1422,1298,52.279411764705884,47.72058823529412,3.5490989334314085,3.0,1.0,18.0,0.03544959663341926
PKG,2618,68.35934100093255,1377,1241,52.5974025974026,47.4025974025974,3.677875429881544,3.0,1.0,19.0,0.024177147038013897
PLD,2709,70.54541696806861,1491,1218,55.03875968992248,44.96124031007752,3.563884785819793,3.0,1.0,20.0,0.023123476466279044
PLTR,552,66.20847215611613,296,256,53.62318840579711,46.3768115942029,3.8021778584392014,3.0,1.0,20.0,0.05845161128535346
PM,1829,68.98787606645712,988,841,54.01858939311099,45.981410606889014,3.644967177242888,3.0,1.0,21.0,0.01857576561699105
PNC,2639,68.71543707377558,1398,1241,52.97461159530125,47.025388404698745,3.6588324488248674,3.0,1.0,30.0,0.024823550180169213
PNR,2612,68.00537245583222,1374,1238,52.603369065849925,47.396630934150075,3.6970509383378016,3.0,1.0,21.0,0.025599485884878904
PNW,2726,70.96611570247934,1458,1268,53.48495964783566,46.51504035216434,3.5427522935779816,3.0,1.0,24.0,0.017503693718587728
PODD,1848,66.66132264529058,968,880,52.38095238095239,47.61904761904761,3.7720628045479154,3.0,1.0,19.0,0.03727466558426377
PPG,2657,69.1698347107438,1378,1279,51.86300338727888,48.13699661272111,3.634789156626506,3.0,1.0,20.0,0.021964884250980952
PPL,2731,71.13302325581395,1441,1290,52.76455510801904,47.23544489198096,3.5344322344322343,3.0,1.0,22.0,0.018794798817176772
PRU,2436,68.47428890128276,1307,1129,53.65353037766831,46.346469622331696,3.6718685831622175,3.0,1.0,23.0,0.027119185403775357
PSA,2749,71.56487603305784,1494,1255,54.347035285558384,45.652964714441616,3.513100436681223,3.0,1.0,21.0,0.0198277566456165
PSKY,2077,69.67571884984027,1033,1044,49.73519499277805,50.26480500722196,3.6088631984585744,3.0,1.0,20.0,0.032948167401861655
PSX,1459,70.75981524249421,769,690,52.707333790267306,47.292666209732694,3.5541838134430725,3.0,1.0,18.0,0.02639986560912891
PTC,2596,67.67270094134685,1370,1226,52.773497688751924,47.226502311248076,3.7152215799614643,3.0,1.0,26.0,0.03444149794278299
PWR,2588,67.42928039702234,1388,1200,53.63214837712519,46.36785162287481,3.728643216080402,3.0,1.0,25.0,0.03609583330924649
PYPL,1048,65.84293193717278,569,479,54.293893129770986,45.70610687022901,3.8204393505253105,3.0,1.0,17.0,0.030497347831595766
Q,68,69.94285714285714,39,29,57.35294117647059,42.64705882352941,3.6417910447761193,3.0,1.0,14.0,0.04585381517084634
QCOM,2545,66.26782393056416,1341,1204,52.691552062868375,47.30844793713163,3.7940251572327046,3.0,1.0,20.0,0.03240057664999974
RCL,2637,68.66336019838809,1382,1255,52.40803943875616,47.59196056124384,3.661608497723824,3.0,1.0,21.0,0.038505842205063756
REG,2699,70.27048248786032,1431,1268,53.0196369025565,46.980363097443494,3.577835433654559,3.0,1.0,27.0,0.02156998566766572
REGN,2559,66.6323620582765,1314,1245,51.34818288393904,48.65181711606096,3.773260359655981,3.0,1.0,28.0,0.04137167824084458
RF,2662,69.33581395348838,1373,1289,51.577761081893314,48.422238918106686,3.6260804208944006,3.0,1.0,21.0,0.030594359947895333
RJF,2727,71.04352320893207,1460,1267,53.53868720205354,46.46131279794646,3.5388848129126926,3.0,1.0,19.0,0.027897561953242497
RL,2564,66.7625542467452,1339,1225,52.223088923556936,47.77691107644306,3.7658993367147873,3.0,1.0,24.0,0.031015204157099407
RMD,2476,64.4645107965699,1335,1141,53.917609046849755,46.082390953150245,3.9002020202020202,3.0,1.0,22.0,0.02638738039859899
ROK,2555,66.52133484864139,1373,1182,53.737769080234834,46.262230919765166,3.77956147220047,3.0,1.0,31.0,0.027723230301398737
ROL,2565,66.78169232358715,1425,1140,55.55555555555556,44.44444444444444,3.764820592823713,3.0,1.0,29.0,0.022095928394743523
ROP,2657,69.23420535621963,1437,1220,54.08355287918706,45.91644712081295,3.6314006024096384,3.0,1.0,20.0,0.021818153197832917
ROST,2607,67.86818181818182,1411,1196,54.12351361718451,45.87648638281549,3.704528012279355,3.0,1.0,18.0,0.025757643032487024
RSG,2641,68.84576393917452,1471,1170,55.69859901552442,44.30140098447558,3.6518939393939394,3.0,1.0,21.0,0.018238137809419963
RTX,2607,67.87519371835934,1402,1205,53.77828922132719,46.2217107786728,3.7041442824251725,3.0,1.0,27.0,0.02092335627468523
RVTY,2666,69.44,1403,1263,52.62565641410353,47.37434358589647,3.620637898686679,3.0,1.0,17.0,0.027951817086002292
SBAC,2644,68.88121575519487,1391,1253,52.609682299546144,47.39031770045386,3.65001891789633,3.0,1.0,26.0,0.03583793570400537
SBUX,2596,67.58181818181818,1373,1223,52.889060092449924,47.110939907550076,3.7202312138728324,3.0,1.0,20.0,0.025027315339599197
SCHW,2653,69.08711377493026,1374,1279,51.790425932906146,48.20957406709386,3.6391402714932126,3.0,1.0,20.0,0.031046444010074913
SHW,2568,66.88744186046512,1397,1171,54.40031152647975,45.59968847352025,3.7588624853915076,3.0,1.0,21.0,0.0218877396035413
SJM,2497,65.011261493956,1305,1192,52.262715258309974,47.737284741690026,3.8673878205128207,3.0,1.0,21.0,0.019327551258068964
SLB,2773,72.19712780245894,1394,1379,50.270465200144244,49.72953479985575,3.4823232323232323,3.0,1.0,16.0,0.029586064916382864
SMCI,1758,62.95523660650846,935,823,53.185437997724684,46.81456200227531,3.9943084803642575,3.0,1.0,21.0,0.047569396707146
SNA,2538,66.07190082644628,1344,1194,52.95508274231678,47.04491725768322,3.8052818289318093,3.0,1.0,20.0,0.022944333845655696
