Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
CCL,2643,1167,1112,364,1167,1112,364,44.154370034052214,42.07340143776012,13.772228528187666,3.874763526295876,4.0,0.00038490644022488835,0.0036191836239073444,0.03317999627603678,1.99699456558952
CDNS,2578,1169,1098,311,1169,1098,311,45.34522885958107,42.5911559348332,12.063615205585727,3.7676493405740885,4.0,0.0003965621460348484,0.006014893512531162,0.030257923995243304,3.9227462070275965
CDW,1257,582,511,164,582,511,164,46.30071599045346,40.65234685759746,13.046937151949084,3.873508353221957,4.0,0.0015200792305113092,0.009451182143558116,0.02330059070373091,5.476888569042578
CEG,421,212,156,53,212,156,53,50.3562945368171,37.05463182897862,12.589073634204276,3.68646080760095,3.0,0.00568209140756674,0.020112764301658936,0.04001308648881659,15.222556280318026
CF,2146,988,949,209,988,949,209,46.039142590866724,44.22180801491146,9.739049394221807,3.595992544268406,3.0,0.0004180192962902515,0.005715248961208207,0.0345390878633026,2.8531374024016234
CFG,1194,558,511,125,558,511,125,46.733668341708544,42.79731993299832,10.469011725293132,3.533500837520938,3.0,0.00124631109243531,0.01007621688366748,0.027606437332600844,1.9480810148062755
CHD,2596,1254,1085,257,1254,1085,257,48.30508474576271,41.79506933744222,9.89984591679507,3.5747303543913715,3.0,0.0010971810838366612,0.007283632345454114,0.017979001972546267,1.3425665525588903
CHRW,2522,1127,1042,353,1127,1042,353,44.68675654242665,41.31641554321966,13.996827914353688,3.851704996034893,4.0,0.00037942579067408216,0.0031949678128398917,0.02488399786442981,3.0527129576604874
CHTR,1570,697,652,221,697,652,221,44.39490445859873,41.52866242038217,14.076433121019107,3.8095541401273887,3.0,0.000370384579866995,0.0044158682823303656,0.02494179772194139,14.170172526853628
CI,2545,1194,994,357,1194,994,357,46.915520628683694,39.056974459724955,14.027504911591357,3.861689587426326,4.0,0.001493317433951888,0.01013683470268785,0.026621531153561914,5.555562618278685
CIEN,2550,1116,1063,371,1116,1063,371,43.76470588235294,41.68627450980392,14.549019607843135,3.9925490196078433,4.0,-0.0008493320517520005,0.005058179210380523,0.04883150560707501,10.400382276655991
CINF,2679,1209,1158,312,1209,1158,312,45.12877939529675,43.225083986562154,11.646136618141098,3.627472937663307,3.0,0.000565667276350743,0.004748631711988311,0.01994681718601512,2.511246669845846
CL,2587,1131,1150,306,1131,1150,306,43.71859296482412,44.453034402783146,11.828372632392734,3.660610746037882,3.0,-0.00017767250194502166,0.0003814697428455593,0.016260664308405996,1.6681302751252416
CLX,2594,1163,1158,273,1163,1158,273,44.83423284502698,44.64148033924441,10.524286815728605,3.6391673091750194,3.0,-9.793194126326794e-05,0.0019536760484458065,0.018214714478601072,3.437668935300618
CMCSA,2669,1230,1151,288,1230,1151,288,46.08467590857999,43.124765829898834,10.790558261521168,3.6305732484076434,3.0,9.031538746536646e-05,0.004294890026688277,0.02414785400709711,0.952650247333453
CME,2380,1087,1020,273,1087,1020,273,45.67226890756302,42.857142857142854,11.470588235294118,3.719747899159664,3.0,6.347363544601964e-05,0.004625866093759366,0.02365065383546105,4.97051794587265
CMG,1886,857,737,292,857,737,292,45.44008483563097,39.07741251325557,15.482502651113467,4.1166489925768825,4.0,0.0017691180620515053,0.007456067650398516,0.031229032295906747,0.934788719522627
CMI,2678,1238,1145,295,1238,1145,295,46.2285287528006,42.75578790141897,11.015683345780433,3.7281553398058254,4.0,0.0006623069460932827,0.004748894217188635,0.028859009717131786,6.328980658088392
CMS,2678,1235,1189,254,1235,1189,254,46.116504854368934,44.39880507841673,9.48469006721434,3.4398805078416728,3.0,0.00012113764347238439,0.003125207492483027,0.01988467775980472,1.1990419579898417
CNC,2270,988,906,376,988,906,376,43.52422907488987,39.91189427312775,16.56387665198238,3.9916299559471367,4.0,0.001191603400140653,0.006175925547541189,0.03352535955733038,1.817747774199207
CNP,2627,1203,1138,286,1203,1138,286,45.79368100494861,43.319375713741906,10.88694328130948,3.5584316711077273,3.0,0.0007822347648059921,0.0048425931652484955,0.02191113020613962,0.8784023027663608
COF,2667,1205,1151,311,1205,1151,311,45.18185226846644,43.15710536182977,11.661042369703788,3.697787776527934,3.0,0.00041595047783853995,0.005100415874686565,0.03266798368378405,4.659014741000084
COHR,2539,1107,1074,358,1107,1074,358,43.5998424576605,42.30011815675463,14.100039385584875,3.825128003150847,4.0,-0.00042307907499757806,0.004759076305824873,0.04201083712501369,3.256083497515358
COIN,562,242,263,57,242,263,57,43.06049822064057,46.79715302491103,10.142348754448399,3.580071174377224,3.0,-0.004738822064191736,-0.022574233383214848,0.06827523910024848,22.89488176128467
