Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
AEE,2698,1265,1176,257,1265,1176,257,46.88658265381764,43.587842846553,9.525574499629355,3.531875463306153,3.0,0.0004933297593266482,0.003944581062617171,0.016243261053596095,1.7437884374125598
AEP,2707,1245,1162,300,1245,1162,300,45.991872922053936,42.92574806058367,11.082379017362394,3.587366087920207,3.0,0.00037705365747040285,0.003826169987944472,0.01804909336558637,2.002797793263834
AES,2636,1165,1160,311,1165,1160,311,44.19575113808801,44.00606980273141,11.798179059180576,3.693474962063733,3.0,-0.0009742191518458738,0.00040820160461446707,0.034527735949349256,1.100652474724509
AFL,2515,1130,1020,365,1130,1020,365,44.93041749502982,40.55666003976143,14.512922465208748,3.847713717693837,4.0,0.0008365667580507488,0.0048781080758063386,0.023255987186382936,1.529441286419454
AIG,2589,1157,1107,325,1157,1107,325,44.68906913866358,42.75782155272306,12.553109308613363,3.76786404016995,3.0,-0.00026050150282450827,0.0017601690851908845,0.031038522609406313,23.169445231430146
AIZ,2198,1020,911,267,1020,911,267,46.40582347588717,41.44676979071883,12.147406733393995,3.8066424021838037,4.0,0.0007763453999135863,0.00767886909504018,0.02235843759911381,3.738779155752097
AJG,2603,1207,1073,323,1207,1073,323,46.36957356895889,41.22166730695351,12.408759124087592,3.6384940453323087,3.0,0.001134592532646409,0.006855030116167575,0.018918825510437682,2.9188820340508204
AKAM,2385,997,948,440,997,948,440,41.80293501048218,39.74842767295598,18.448637316561843,4.195387840670859,4.0,-0.0012461165016584496,0.004556785265526791,0.04556336761048695,4.038083557416212
ALB,2658,1224,1127,307,1224,1127,307,46.04966139954853,42.40030097817908,11.550037622272386,3.695259593679458,3.0,0.0008411311668508498,0.0059325068231923335,0.031633746034240226,5.2097957999166615
ALGN,2312,1004,925,383,1004,925,383,43.42560553633218,40.00865051903114,16.56574394463668,4.061418685121107,4.0,0.0007384604489272975,0.006416662661667391,0.045570841745607854,9.843223761290172
ALL,2585,1219,1049,317,1219,1049,317,47.156673114119926,40.580270793036746,12.263056092843328,3.75357833655706,3.0,0.001310078017916776,0.00854179668422327,0.02102366303148185,2.948302894892549
ALLE,1254,580,535,139,580,535,139,46.25199362041467,42.663476874003194,11.084529505582138,3.6523125996810206,3.0,0.000967153019064035,0.006759092848534723,0.0208176947667884,4.207903789995307
AMAT,2747,1320,1190,237,1320,1190,237,48.05242082271569,43.31998543866036,8.627593738623954,3.5289406625409536,3.0,0.0005857284609792316,0.011611857991348574,0.03336488029162063,4.077958799673259
AMCR,766,337,315,114,337,315,114,43.994778067885115,41.12271540469974,14.882506527415144,3.83289817232376,4.0,0.0004699142009087408,0.0044073055715896136,0.02260793526930097,2.2852396535929156
AMD,2654,1210,1107,337,1210,1107,337,45.591559909570464,41.71062547098719,12.697814619442353,3.8044461190655614,4.0,0.0007413576807568044,0.006803465555088603,0.04947604409166707,4.142263421444023
AME,2602,1179,1103,320,1179,1103,320,45.31129900076864,42.39046887009992,12.298232129131437,3.721368178324366,3.0,0.000717152579251221,0.0037699192313309857,0.021499776501064948,2.2298151368347576
AMGN,2635,1180,1136,319,1180,1136,319,44.78178368121442,43.111954459203034,12.106261859582542,3.7055028462998103,3.0,4.87415454089663e-05,0.002959014504713886,0.02341885701719587,5.931352015681049
AMP,2076,974,845,257,974,845,257,46.91714836223507,40.703275529865124,12.379576107899808,3.7514450867052025,3.0,0.0011693858802566226,0.009332153997717009,0.027530450211286972,7.628342983026391
AMT,2687,1250,1144,293,1250,1144,293,46.52028284331969,42.57536285820618,10.904354298474136,3.5909936732415333,3.0,8.59764762008807e-05,0.006733727936019935,0.029317260858876357,4.403234063515177
AMZN,2599,1179,1065,355,1179,1065,355,45.36360138514814,40.9772989611389,13.659099653712966,3.9188149288187764,4.0,-0.00032064183023130247,0.007081728493611229,0.03510561877131195,2.90884065744808
ANET,1160,532,460,168,532,460,168,45.86206896551724,39.6551724137931,14.482758620689657,3.943103448275862,4.0,0.0020972650622522074,0.011443803823783173,0.036504002059933496,2.996262415334173
AON,2485,1150,981,354,1150,981,354,46.27766599597585,39.47686116700201,14.245472837022133,3.7935613682092555,3.0,0.0011588076405505807,0.007458348148660779,0.021068805145697707,4.592074741009259
AOS,2642,1203,1119,320,1203,1119,320,45.533686601059806,42.35427706283119,12.112036336109009,3.77554882664648,3.0,0.0006230471883456606,0.005330311071717616,0.025650952149581525,1.3470789177677238
